,owner__participant__code,owner__session__code,owner__round_number,name,timestamp,body,owner__gamified,owner__crash_probability,owner__training,current_price,priceIndex,secs_since_round_starts,subsession.tick_frequency,exit_crash,exit_sell,exit_hodl,mindchanges,exit_correct,player.gender,player.age,player.education,FinScore,player.study_major,player.course_financial,player.trading_experience,player.online_trading_experience,player.trading_frequency,player.portfolio_frequency,player.asset_class,player.use_leverage,censoring
282,eween4ii,9pqvaeel,5,Trade_ends,2021-11-10 01:12:31.739296+00:00,"{""currentPrice"": 16, ""priceIndex"": 4, ""secs_since_round_starts"": 13}",False,0.06,False,16,4,13,3.0,0,1,0,0,1,Male,19.0,undergraduate: 2nd year,9,Other,0.0,0.0,1.0,Less than once a month,Weekly,Stocks,No,1000
283,yu2cpitw,9pqvaeel,7,Trade_ends,2021-11-10 01:12:38.258842+00:00,"{""currentPrice"": 0, ""priceIndex"": 13, ""secs_since_round_starts"": 39}",False,0.03,False,0,13,39,3.0,1,0,0,0,1,Female,24.0,undergraduate: 4th year,6,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,Do not know,39
284,20ke17js,9pqvaeel,9,Trade_ends,2021-11-10 01:12:44.200250+00:00,"{""currentPrice"": 0, ""priceIndex"": 5, ""secs_since_round_starts"": 15}",True,0.06,False,0,5,15,3.0,1,0,0,0,1,Female,29.0,master,5,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,Do not know,15
285,yu2cpitw,9pqvaeel,8,Trade_ends,2021-11-10 01:12:50.034245+00:00,"{""currentPrice"": 12, ""priceIndex"": 2, ""secs_since_round_starts"": 6}",False,0.06,False,12,2,6,2.0,0,1,0,0,1,Female,24.0,undergraduate: 4th year,6,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,Do not know,1000
286,eween4ii,9pqvaeel,6,Trade_ends,2021-11-10 01:12:52.902755+00:00,"{""currentPrice"": 18, ""priceIndex"": 7, ""secs_since_round_starts"": 17}",True,0.03,False,18,7,17,2.0,0,1,0,0,1,Male,19.0,undergraduate: 2nd year,9,Other,0.0,0.0,1.0,Less than once a month,Weekly,Stocks,No,1000
287,a2vn99wx,9pqvaeel,4,Trade_ends,2021-11-10 01:13:05.964516+00:00,"{""currentPrice"": 22, ""priceIndex"": 11, ""secs_since_round_starts"": 30}",False,0.06,False,22,11,30,2.0,0,1,0,1,1,Male,19.0,undergraduate: 2nd year,6,Other,1.0,1.0,1.0,Less than once a month,Monthly,Stocks,No,1000
288,5sui6qsz,9pqvaeel,2,Trade_ends,2021-11-10 01:13:06.152330+00:00,"{""currentPrice"": 16, ""priceIndex"": 3, ""secs_since_round_starts"": 10}",True,0.03,False,16,3,10,2.0,0,1,0,0,1,Male,46.0,undergraduate: 4th year,9,Other,0.0,1.0,1.0,Monthly,Daily,Stocks,No,1000
289,yu2cpitw,9pqvaeel,9,Trade_ends,2021-11-10 01:13:08.119467+00:00,"{""currentPrice"": 12, ""priceIndex"": 4, ""secs_since_round_starts"": 14}",False,0.06,False,12,4,14,3.0,0,1,0,0,1,Female,24.0,undergraduate: 4th year,6,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Stocks,Do not know,1000
290,r225pk58,9pqvaeel,6,Trade_ends,2021-11-10 01:13:20.552371+00:00,"{""currentPrice"": 30, ""priceIndex"": 18, ""secs_since_round_starts"": 44}",False,0.03,False,30,18,44,2.0,0,1,0,0,1,Male,20.0,undergraduate: 4th year,10,Other,0.0,1.0,1.0,Weekly,Daily,Stocks,No,1000
291,eween4ii,9pqvaeel,7,Trade_ends,2021-11-10 01:13:27.285397+00:00,"{""currentPrice"": 18, ""priceIndex"": 9, ""secs_since_round_starts"": 29}",True,0.03,False,18,9,29,3.0,0,1,0,0,1,Male,19.0,undergraduate: 2nd year,9,Other,0.0,0.0,1.0,Less than once a month,Weekly,Stocks,No,1000
292,8d9c3qd9,9pqvaeel,7,Trade_ends,2021-11-10 01:13:28.617884+00:00,"{""currentPrice"": 33, ""priceIndex"": 25, ""secs_since_round_starts"": 75}",False,0.03,False,33,25,75,3.0,0,0,1,0,1,Male,23.0,undergraduate: 4th year,7,Other,0.0,1.0,1.0,Monthly,Weekly,Stocks,No,75
293,5sui6qsz,9pqvaeel,3,Trade_ends,2021-11-10 01:13:32.387400+00:00,"{""currentPrice"": 18, ""priceIndex"": 6, ""secs_since_round_starts"": 21}",True,0.03,False,18,6,21,3.0,0,1,0,0,1,Male,46.0,undergraduate: 4th year,9,Other,0.0,1.0,1.0,Monthly,Daily,Stocks,No,1000
294,eween4ii,9pqvaeel,8,Trade_ends,2021-11-10 01:13:34.165534+00:00,"{""currentPrice"": 0, ""priceIndex"": 1, ""secs_since_round_starts"": 2}",True,0.06,False,0,1,2,2.0,1,0,0,0,1,Male,19.0,undergraduate: 2nd year,9,Other,0.0,0.0,1.0,Less than once a month,Weekly,Stocks,No,2
295,a2vn99wx,9pqvaeel,5,Trade_ends,2021-11-10 01:13:43.667321+00:00,"{""currentPrice"": 20, ""priceIndex"": 10, ""secs_since_round_starts"": 32}",False,0.06,False,20,10,32,3.0,0,1,0,0,1,Male,19.0,undergraduate: 2nd year,6,Other,1.0,1.0,1.0,Less than once a month,Monthly,Stocks,No,1000
296,5sui6qsz,9pqvaeel,4,Trade_ends,2021-11-10 01:13:47.248912+00:00,"{""currentPrice"": 13, ""priceIndex"": 4, ""secs_since_round_starts"": 11}",True,0.06,False,13,4,11,2.0,0,1,0,0,1,Male,46.0,undergraduate: 4th year,9,Other,0.0,1.0,1.0,Monthly,Daily,Stocks,No,1000
297,a2vn99wx,9pqvaeel,6,Trade_ends,2021-11-10 01:14:02.772745+00:00,"{""currentPrice"": 0, ""priceIndex"": 7, ""secs_since_round_starts"": 14}",True,0.03,False,0,7,14,2.0,1,0,0,0,1,Male,19.0,undergraduate: 2nd year,6,Other,1.0,1.0,1.0,Less than once a month,Monthly,Stocks,No,14
298,eween4ii,9pqvaeel,9,Trade_ends,2021-11-10 01:14:08.138986+00:00,"{""currentPrice"": 19, ""priceIndex"": 9, ""secs_since_round_starts"": 29}",True,0.06,False,19,9,29,3.0,0,1,0,0,1,Male,19.0,undergraduate: 2nd year,9,Other,0.0,0.0,1.0,Less than once a month,Weekly,Stocks,No,1000
299,5sui6qsz,9pqvaeel,5,Trade_ends,2021-11-10 01:14:11.972987+00:00,"{""currentPrice"": 18, ""priceIndex"": 6, ""secs_since_round_starts"": 21}",True,0.06,False,18,6,21,3.0,0,1,0,0,1,Male,46.0,undergraduate: 4th year,9,Other,0.0,1.0,1.0,Monthly,Daily,Stocks,No,1000
300,8d9c3qd9,9pqvaeel,8,Trade_ends,2021-11-10 01:14:15.756233+00:00,"{""currentPrice"": 0, ""priceIndex"": 20, ""secs_since_round_starts"": 40}",False,0.06,False,0,20,40,2.0,1,0,0,0,1,Male,23.0,undergraduate: 4th year,7,Other,0.0,1.0,1.0,Monthly,Weekly,Stocks,No,40
301,r225pk58,9pqvaeel,7,Trade_ends,2021-11-10 01:14:21.187059+00:00,"{""currentPrice"": 33, ""priceIndex"": 17, ""secs_since_round_starts"": 54}",False,0.03,False,33,17,54,3.0,0,1,0,0,1,Male,20.0,undergraduate: 4th year,10,Other,0.0,1.0,1.0,Weekly,Daily,Stocks,No,1000
302,5sui6qsz,9pqvaeel,6,Trade_ends,2021-11-10 01:14:31.730111+00:00,"{""currentPrice"": 0, ""priceIndex"": 8, ""secs_since_round_starts"": 16}",False,0.03,False,0,8,16,2.0,1,0,0,0,1,Male,46.0,undergraduate: 4th year,9,Other,0.0,1.0,1.0,Monthly,Daily,Stocks,No,16
303,r225pk58,9pqvaeel,8,Trade_ends,2021-11-10 01:14:46.142076+00:00,"{""currentPrice"": 20, ""priceIndex"": 8, ""secs_since_round_starts"": 19}",False,0.06,False,20,8,19,2.0,0,1,0,0,1,Male,20.0,undergraduate: 4th year,10,Other,0.0,1.0,1.0,Weekly,Daily,Stocks,No,1000
304,a2vn99wx,9pqvaeel,7,Trade_ends,2021-11-10 01:14:50.039593+00:00,"{""currentPrice"": 19, ""priceIndex"": 7, ""secs_since_round_starts"": 35}",True,0.03,False,19,7,35,3.0,0,1,0,0,1,Male,19.0,undergraduate: 2nd year,6,Other,1.0,1.0,1.0,Less than once a month,Monthly,Stocks,No,1000
