owner__participant__code,owner__session__code,owner__round_number,name,timestamp,body,owner__gamified,owner__crash_probability,owner__training,owner__exit_price,owner__subsession__starting_price,owner__subsession__tick_frequency,owner__subsession__max_length,current_price,priceIndex,secs_since_round_starts
hgslsxeg,9pqvaeel,3,Trade_ends,2021-11-10 00:59:15.108630+00:00,"{""currentPrice"": 19, ""priceIndex"": 12, ""secs_since_round_starts"": 40}",True,0.03,False,19.0,10.0,3.0,25.0,19,12,40
hgslsxeg,9pqvaeel,3,round_ends,2021-11-10 00:59:16.232798+00:00,"{""currentPrice"": 19, ""priceIndex"": 12, ""secs_since_round_starts"": 41}",True,0.03,False,19.0,10.0,3.0,25.0,19,12,41
hgslsxeg,9pqvaeel,4,Trade_starts,2021-11-10 00:59:18.594690+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",True,0.06,False,30.0,10.0,2.0,25.0,10,0,0
hgslsxeg,9pqvaeel,4,Trade_ends,2021-11-10 01:00:08.562983+00:00,"{""currentPrice"": 30, ""priceIndex"": 25, ""secs_since_round_starts"": 50}",True,0.06,False,30.0,10.0,2.0,25.0,30,25,50
hgslsxeg,9pqvaeel,4,round_ends,2021-11-10 01:00:15.303085+00:00,"{""currentPrice"": 30, ""priceIndex"": 25, ""secs_since_round_starts"": 56}",True,0.06,False,30.0,10.0,2.0,25.0,30,25,56
hgslsxeg,9pqvaeel,5,Trade_starts,2021-11-10 01:00:17.949340+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",True,0.06,False,0.0,10.0,3.0,25.0,10,0,0
hgslsxeg,9pqvaeel,5,Trade_ends,2021-11-10 01:01:14.869302+00:00,"{""currentPrice"": 0, ""priceIndex"": 19, ""secs_since_round_starts"": 57}",True,0.06,False,0.0,10.0,3.0,25.0,0,19,57
0f0wk0h0,9pqvaeel,1,round_ends,2021-11-10 01:01:15.420918+00:00,"{""currentPrice"": 40, ""priceIndex"": 25, ""secs_since_round_starts"": 369}",False,0.03,True,40.0,10.0,2.0,25.0,40,25,369
0f0wk0h0,9pqvaeel,2,Trade_starts,2021-11-10 01:01:19.320424+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",False,0.03,False,0.0,10.0,2.0,25.0,10,0,0
hgslsxeg,9pqvaeel,5,round_ends,2021-11-10 01:01:20.651540+00:00,"{""currentPrice"": 0, ""priceIndex"": 19, ""secs_since_round_starts"": 62}",True,0.06,False,0.0,10.0,3.0,25.0,0,19,62
