owner__participant__code,owner__session__code,owner__round_number,name,timestamp,body,owner__gamified,owner__crash_probability,owner__training,current_price,priceIndex,secs_since_round_starts
ngab0n17,9pqvaeel,1,Trade_starts,2021-11-10 01:49:01.114535+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",FALSE,0.03,TRUE,10,0,0
txfqqvp0,9pqvaeel,1,Trade_starts,2021-11-10 01:49:09.244566+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",FALSE,0.03,TRUE,10,0,0
ngab0n17,9pqvaeel,1,Trade_ends,2021-11-10 01:49:11.026007+00:00,"{""currentPrice"": 0, ""priceIndex"": 5, ""secs_since_round_starts"": 10}",FALSE,0.03,TRUE,0,5,10
0cfoyoxq,9pqvaeel,1,Trade_ends,2021-11-10 01:49:11.954277+00:00,"{""currentPrice"": 37, ""priceIndex"": 25, ""secs_since_round_starts"": 50}",FALSE,0.03,TRUE,37,25,50
2wututnc,9pqvaeel,6,sellingDialogShown,2021-11-10 01:49:16.906598+00:00,"{""currentPrice"": 19, ""priceIndex"": 8, ""secs_since_round_starts"": 17}",FALSE,0.03,FALSE,19,8,17
ngab0n17,9pqvaeel,1,round_ends,2021-11-10 01:49:17.137759+00:00,"{""currentPrice"": 0, ""priceIndex"": 5, ""secs_since_round_starts"": 16}",FALSE,0.03,TRUE,0,5,16
2wututnc,9pqvaeel,6,Sell,2021-11-10 01:49:19.913838+00:00,"{""currentPrice"": 19, ""priceIndex"": 8, ""secs_since_round_starts"": 20}",FALSE,0.03,FALSE,19,8,20
2wututnc,9pqvaeel,6,Trade_ends,2021-11-10 01:49:19.962956+00:00,"{""currentPrice"": 19, ""priceIndex"": 8, ""secs_since_round_starts"": 20}",FALSE,0.03,FALSE,19,8,20
ngab0n17,9pqvaeel,2,Trade_starts,2021-11-10 01:49:20.337563+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",TRUE,0.03,FALSE,10,0,0
0cfoyoxq,9pqvaeel,2,Trade_starts,2021-11-10 01:49:21.065895+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",TRUE,0.03,FALSE,10,0,0
7gobkypf,9pqvaeel,3,sellingDialogShown,2021-11-10 01:49:24.767856+00:00,"{""currentPrice"": 22, ""priceIndex"": 12, ""secs_since_round_starts"": 36}",FALSE,0.03,FALSE,22,12,36
l1rs6m7t,9pqvaeel,6,Trade_ends,2021-11-10 01:49:25.279451+00:00,"{""currentPrice"": 35, ""priceIndex"": 25, ""secs_since_round_starts"": 50}",FALSE,0.03,FALSE,35,25,50
7gobkypf,9pqvaeel,3,Sell,2021-11-10 01:49:26.458731+00:00,"{""currentPrice"": 22, ""priceIndex"": 12, ""secs_since_round_starts"": 38}",FALSE,0.03,FALSE,22,12,38
