,owner__participant__code,owner__session__code,owner__round_number,name,timestamp,body,owner__gamified,owner__crash_probability,owner__training,owner__exit_price,owner__subsession__starting_price,owner__subsession__max_length,current_price,priceIndex,secs_since_round_starts,subsession.tick_frequency,exit_crash,exit_sell,exit_hodl,mindchanges,exit_correct,gamified_first,player.gender,player.age,player.education,participant.payoff,FinScore,player.study_major,player.course_financial,player.trading_experience,player.online_trading_experience,player.trading_frequency,player.portfolio_frequency,player.asset_class,player.use_leverage,player.nationality,censoring,censoring_price
2055,rh2jcjcj,tcbozsj9,4,Trade_ends,2021-11-17 18:31:15.254067+00:00,"{""currentPrice"": 43, ""priceIndex"": 30, ""secs_since_round_starts"": 60}",False,0.02,False,43.0,10.0,30.0,43,30,60,2.0,0,0,1,0,1,0,Female,30.0,master,50,6,Other,0.0,1.0,0.0,Monthly,Daily,Stocks,Do not know,US,60,1000.0
2056,t6cfhe7m,tcbozsj9,6,Trade_ends,2021-11-17 18:31:15.983438+00:00,"{""currentPrice"": 12, ""priceIndex"": 2, ""secs_since_round_starts"": 10}",True,0.05,False,12.0,10.0,30.0,12,2,10,2.0,0,1,0,0,1,0,Male,45.0,master,19,8,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Bonds,No,US,1000,1000.0
2057,ym2ds9cf,xm39f2ij,8,Trade_ends,2021-11-17 18:31:16.945705+00:00,"{""currentPrice"": 14, ""priceIndex"": 8, ""secs_since_round_starts"": 22}",True,0.05,False,14.0,10.0,30.0,14,8,22,2.0,0,1,0,0,1,0,Female,33.0,undergraduate: 4th year,21,4,Other,1.0,1.0,1.0,Daily,Daily,Stocks,No,CA,1000,1000.0
2058,2je1hqot,tcbozsj9,5,Trade_ends,2021-11-17 18:31:18.711541+00:00,"{""currentPrice"": 22, ""priceIndex"": 8, ""secs_since_round_starts"": 17}",True,0.05,False,22.0,10.0,30.0,22,8,17,2.0,0,1,0,0,1,1,Male,25.0,master,8,8,Other,0.0,0.0,1.0,Weekly,Daily,Bonds,Yes,US,1000,1000.0
2059,7zty628a,tcbozsj9,8,Trade_ends,2021-11-17 18:31:20.211899+00:00,"{""currentPrice"": 28, ""priceIndex"": 12, ""secs_since_round_starts"": 28}",True,0.05,False,28.0,10.0,30.0,28,12,28,2.0,0,1,0,1,1,0,Male,24.0,master,10,10,Other Management,0.0,1.0,0.0,Less than once a month,Daily,Cryptocurrencies,No,BG,1000,1000.0
2060,2cnrppop,tcbozsj9,2,Trade_ends,2021-11-17 18:31:21.784082+00:00,"{""currentPrice"": 0, ""priceIndex"": 10, ""secs_since_round_starts"": 20}",False,0.02,False,0.0,10.0,30.0,0,10,20,2.0,1,0,0,0,1,0,Male,27.0,master,29,10,Other,0.0,1.0,0.0,Less than once a month,Monthly,Stocks,No,GB,20,0.0
2061,rolr3er9,tcbozsj9,3,Trade_ends,2021-11-17 18:31:24.086932+00:00,"{""currentPrice"": 15, ""priceIndex"": 3, ""secs_since_round_starts"": 9}",False,0.05,False,15.0,10.0,30.0,15,3,9,2.0,0,1,0,0,1,0,Male,48.0,master,24,7,Other,0.0,1.0,1.0,Monthly,Weekly,Stocks,No,US,1000,1000.0
2062,t6cfhe7m,tcbozsj9,7,Trade_ends,2021-11-17 18:31:28.816516+00:00,"{""currentPrice"": 13, ""priceIndex"": 2, ""secs_since_round_starts"": 7}",True,0.02,False,13.0,10.0,30.0,13,2,7,2.0,0,1,0,0,1,0,Male,45.0,master,19,8,Other,0.0,0.0,0.0,Less than once a month,Less than once a month,Bonds,No,US,1000,1000.0
2063,qbkzmhfn,tcbozsj9,9,Trade_ends,2021-11-17 18:31:35.609437+00:00,"{""currentPrice"": 22, ""priceIndex"": 11, ""secs_since_round_starts"": 24}",False,0.02,False,22.0,10.0,30.0,22,11,24,2.0,0,1,0,0,1,1,Male,39.0,master,30,8,Other,0.0,1.0,0.0,Less than once a month,Weekly,Stocks,No,GB,1000,1000.0
2064,j3tvg2jr,tcbozsj9,9,Trade_ends,2021-11-17 18:31:38.302190+00:00,"{""currentPrice"": 31, ""priceIndex"": 16, ""secs_since_round_starts"": 33}",False,0.02,False,31.0,10.0,30.0,31,16,33,2.0,0,1,0,0,1,1,Male,32.0,MBA,10,10,Other,1.0,1.0,1.0,Monthly,Multiple times a day,Stocks,Yes,US,1000,1000.0
