owner__participant__code,owner__session__code,owner__round_number,name,timestamp,body,owner__gamified,owner__crash_probability,owner__training,owner__exit_price,owner__subsession__starting_price,owner__subsession__tick_frequency,owner__subsession__max_length,current_price,priceIndex,secs_since_round_starts
vilzxcqv,mv9ewgi2,4,Trade_starts,2021-11-12 19:48:31.390900+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",True,0.02,False,23.0,10.0,2.0,30.0,10,0,0
l92bojqx,mv9ewgi2,4,Sell,2021-11-12 19:48:32.354318+00:00,"{""currentPrice"": 30, ""priceIndex"": 22, ""secs_since_round_starts"": 47}",False,0.02,False,30.0,10.0,2.0,30.0,30,22,47
l92bojqx,mv9ewgi2,4,Trade_ends,2021-11-12 19:48:32.406854+00:00,"{""currentPrice"": 30, ""priceIndex"": 22, ""secs_since_round_starts"": 47}",False,0.02,False,30.0,10.0,2.0,30.0,30,22,47
l92bojqx,mv9ewgi2,4,round_ends,2021-11-12 19:48:34.145287+00:00,"{""currentPrice"": 30, ""priceIndex"": 22, ""secs_since_round_starts"": 49}",False,0.02,False,30.0,10.0,2.0,30.0,30,22,49
l92bojqx,mv9ewgi2,5,Trade_starts,2021-11-12 19:48:37.784019+00:00,"{""currentPrice"": 10, ""priceIndex"": 0, ""secs_since_round_starts"": 0}",False,0.05,False,24.0,10.0,2.0,30.0,10,0,0
77ps1c78,mv9ewgi2,2,Trade_ends,2021-11-12 19:48:55.835229+00:00,"{""currentPrice"": 43, ""priceIndex"": 30, ""secs_since_round_starts"": 60}",False,0.02,False,43.0,10.0,2.0,30.0,43,30,60
vilzxcqv,mv9ewgi2,4,sellingDialogShown,2021-11-12 19:48:57.664210+00:00,"{""currentPrice"": 23, ""priceIndex"": 13, ""secs_since_round_starts"": 26}",True,0.02,False,23.0,10.0,2.0,30.0,23,13,26
vilzxcqv,mv9ewgi2,4,Sell,2021-11-12 19:48:58.795732+00:00,"{""currentPrice"": 23, ""priceIndex"": 13, ""secs_since_round_starts"": 27}",True,0.02,False,23.0,10.0,2.0,30.0,23,13,27
vilzxcqv,mv9ewgi2,4,Trade_ends,2021-11-12 19:48:58.839679+00:00,"{""currentPrice"": 23, ""priceIndex"": 13, ""secs_since_round_starts"": 27}",True,0.02,False,23.0,10.0,2.0,30.0,23,13,27
77ps1c78,mv9ewgi2,2,round_ends,2021-11-12 19:49:00.576307+00:00,"{""currentPrice"": 43, ""priceIndex"": 30, ""secs_since_round_starts"": 64}",False,0.02,False,43.0,10.0,2.0,30.0,43,30,64
